wine_type,style,color_depth,color_straw,color_lemon,color_gold,color_amber,color_brown,color_purple,color_ruby,color_garnet,nose_intensity,fruit_green,fruit_citrus,fruit_stone,fruit_tropical,fruit_red,fruit_black,secondary_oak,secondary_creamy,tertiary_present,development,acidity,body,finish,tannin,score_complexity,score_intensity,particle_type,particle_size,particle_count,particle_speed,gravity,color_r,color_g,color_b
white,rich,0.4440253722929507,0,0,1,1,0,0,0,0,0.8324409815478214,0,1,1,0,0,0,1,0,0,0.19366670193454022,0.30850245952362637,0.8184707401424313,0.7272904258996425,0.0,0.8597585483111384,0.8382490372178844,0,4.35,270,0.565,-0.074,0.689,0.489,0.118
red,light_red,0.38459122718914296,0,0,0,0,0,0,1,0,0.38246744480796996,0,0,0,0,1,0,0,0,0,0.357261346039895,0.8608106794046064,0.24304408145469075,0.3564785887984545,0.4387035796672881,0.33417789054553365,0.3278194051286206,1,2.418,50,0.404,-0.261,0.527,0.062,0.123
white,rich,0.7412912580411,0,0,1,1,0,0,0,0,0.7410703855657486,0,0,1,0,0,0,1,1,1,0.27854718407824586,0.39528269601152294,0.849876804634757,0.6789129713377009,0.0,0.5080688931680699,0.6540861007042766,0,3.741,300,0.539,-0.04,0.863,0.585,0.205
white,rich,0.7238442174747386,0,0,0,0,0,0,0,0,0.8285505914646253,1,1,0,1,0,0,0,0,1,0.5106703002386411,0.39919846265132686,0.5816984984710253,0.8245554061184576,0.0,0.7647000585658056,0.5533573413526827,4,3.759,176,0.329,0.048,0.773,0.843,0.668
white,aromatic,0.14632923289471772,0,0,0,0,0,0,0,0,0.7686965591260025,0,0,0,1,0,0,0,0,0,0.4470641943300455,0.8298241526432597,0.6250941881081249,0.6596976380010084,0.0,0.6947273594061862,0.6335705187725201,0,3.59,261,0.671,-0.235,0.701,0.65,0.523
white,crisp,0.12082420073391803,0,0,0,0,0,0,0,0,0.5819328910181215,1,1,1,0,0,0,0,0,0,0.22142564758200914,0.5863062544496805,0.02327071238154886,0.5139238605026263,0.0,0.1122859592080159,0.4029794700095385,0,1.0,10,0.422,-0.536,0.649,0.625,0.47
red,aged,0.46581605380855207,0,0,0,0,0,0,0,1,0.524122234957241,0,0,0,0,0,1,1,0,1,0.7455611753444993,0.6253238249186442,0.8027802517206375,0.5729305090085499,0.38388460727499646,0.7943630263271629,1.0,2,4.397,78,0.443,0.396,0.467,0.024,0.107
red,earthy,0.47391182665911846,0,0,0,0,0,0,0,1,0.6090768354514446,0,0,0,0,0,1,0,0,1,0.7187396333253004,0.6295932827723121,0.7368396806556512,0.6652232582703879,0.46407106322907715,0.5672040766051842,0.6489089999510835,2,4.384,274,0.465,0.33,0.495,0.077,0.142
red,aged,0.6230255273352123,0,0,0,0,0,0,0,1,0.3992915021552949,0,0,0,0,1,1,1,1,1,0.7405708607757933,0.43785784782333803,0.7289835970944073,0.8154548166718043,0.6385565689675413,0.8765372373961027,0.41776327054066825,4,4.436,10,0.219,0.598,0.507,0.095,0.128
red,earthy,0.5524957066388632,0,0,0,0,1,0,0,0,0.5530673701085427,0,0,0,0,0,1,1,0,1,0.6451753257823309,0.6596399837750306,0.5991219313722421,0.48909601146839266,0.6302984284896204,0.8469429380998957,0.33451298962995935,2,4.36,150,0.346,0.262,0.382,0.107,0.049
white,crisp,0.023081171366359544,1,1,0,0,0,0,0,0,0.3704875239311141,0,0,0,0,0,0,0,1,0,0.343628837032613,0.6046412776084487,0.22922594294119644,0.3329886702349491,0.0,0.44932196389098794,0.5764447152365849,0,2.025,100,0.431,-0.414,0.642,0.547,0.365
white,rich,0.7531007187749392,0,0,0,0,0,0,0,0,0.7703679691748911,0,0,1,0,0,0,1,1,0,0.3312013384206541,0.5607510753754414,0.8083646866736375,0.8549752807412252,0.0,0.6004582953477877,0.5381082804690114,0,4.105,300,0.511,-0.02,0.832,0.873,0.649
red,fruity,0.34137406665950487,0,0,0,0,0,1,1,1,0.7376400851839522,0,0,0,0,1,0,0,0,0,0.3059447309987187,0.38675185059705663,0.5261500481897186,0.44887737133720473,0.5071389681691695,0.3399067562000777,0.7062192516221572,0,3.258,184,0.502,0.145,0.388,0.024,0.116
red,bold_red,0.755910127848915,0,0,0,0,0,1,0,1,0.8909780814599552,0,0,0,0,0,1,0,0,1,0.3324403426285234,0.4681669079380855,0.8524383280482609,1.0,0.9703685431553427,0.6408297977579249,0.8263101047169645,3,5.0,248,0.521,0.535,0.539,0.048,0.1
white,rich,0.8278214378844623,0,0,1,1,0,0,0,0,0.7309351073582623,1,0,0,1,0,0,1,1,1,0.44827430911054056,0.5164963630008468,0.49086215748415,0.5959831228507338,0.0,0.6429007320711063,0.8846285553463673,0,3.27,235,0.531,-0.165,0.856,0.608,0.206
red,light_red,0.38251291957087186,0,0,0,0,0,0,1,0,0.1462247321746755,0,0,0,0,1,0,1,0,0,0.17612714656317996,1.0,0.2226011675448637,0.28401665477655147,0.06668694230178082,0.3917733247552309,0.09430892051664946,0,2.44,10,0.507,-0.593,0.574,0.032,0.121
white,crisp,0.05021991595939084,0,1,0,0,0,0,0,0,0.5572205030359538,1,1,1,0,0,0,0,0,0,0.33922298574682,0.9278346935487515,0.22858243269793166,0.37402650053872166,0.0,0.3906189697700493,0.7106606653604696,1,2.272,244,0.678,-0.582,0.603,0.653,0.379
red,bold_red,0.7592348712944923,0,0,0,0,0,1,1,0,1.0,0,0,0,0,1,1,0,0,1,0.25486274795188946,0.5588504802912266,0.7210005367935418,0.8916323690257911,0.8292795838114477,0.8454354188647801,0.9961726086996656,4,4.697,195,0.652,0.28,0.598,0.0,0.13
red,bold_red,0.6795667254948898,0,0,0,0,0,0,1,0,0.6764059109705169,0,0,0,0,1,1,1,0,0,0.2278819763838347,0.4754755129695045,0.6342003132301824,0.7459560416099312,0.7019717121435718,0.9233287419106222,0.8445090259834311,4,4.871,180,0.567,0.113,0.702,0.0,0.171
white,aromatic,0.41260225909687287,1,1,1,0,0,0,0,0,0.8603190514381056,0,0,1,1,0,0,0,0,0,0.3332981276520327,0.6803117424515461,0.343937538115047,0.6768492938202781,0.0,0.6449104033407163,0.6253480801192451,0,2.861,238,0.73,-0.471,0.683,0.619,0.244
red,fruity,0.31164058052919064,0,0,0,0,0,1,1,0,0.6823216017165918,0,0,0,0,1,0,0,0,0,0.04302154015511335,0.6942525374884456,0.31721187392297956,0.6310363198726694,0.3357143166551892,0.35816775700055653,0.5985261264188081,1,2.622,170,0.662,-0.352,0.513,0.069,0.096
white,crisp,0.162729058959386,1,1,0,0,0,0,0,0,0.36519643325360873,1,1,0,0,0,0,0,0,0,0.14025773058217816,0.7967094031757362,0.222950154224204,0.2628481848420175,0.0,0.292078667255548,0.5719733214855485,1,2.001,147,0.55,-0.732,0.64,0.672,0.4
red,bold_red,0.7594008115215921,0,0,0,0,0,1,0,1,0.6629036945776497,0,0,0,0,0,1,0,0,1,0.44293006270039237,0.6864608503151468,0.7182393668463782,0.9163887303509507,0.6157428881613024,0.6782211654333462,0.7837219163421941,2,4.218,170,0.516,0.252,0.517,0.054,0.087
white,crisp,0.278359647267521,0,1,0,0,0,0,0,0,0.5787689929080897,0,1,0,0,0,0,0,0,0,0.07740777353352567,0.7172650541439132,0.3692603141543834,0.5631450374242746,0.0,0.34668118742968096,0.7363372902971294,1,2.73,57,0.643,-0.622,0.705,0.674,0.389
red,fruity,0.5636622178400537,0,0,0,0,0,1,1,0,0.6161702965226808,0,0,0,0,0,1,0,0,0,0.2266695175385924,0.5325851638702298,0.6286121272080554,0.4244045236652252,0.5678127968629142,0.5115403591512583,0.7715843404652208,0,3.653,141,0.474,0.067,0.655,0.003,0.095
white,aromatic,0.47620158115176103,0,0,1,0,0,0,0,0,0.9070406796544784,0,1,1,1,0,0,0,0,0,0.11378595429570781,0.7006162132596079,0.4511923850210406,0.5357077295114169,0.0,0.5429707128598001,0.7099965974611517,0,3.103,213,0.821,-0.531,0.755,0.663,0.348
white,sweet,0.45549053915061866,0,1,1,1,0,0,0,0,0.5593929468345525,0,0,0,1,0,0,0,1,1,0.5150889556345973,0.5431095010881004,0.5442691330438298,0.870288500618573,0.0,0.6606375301284859,0.8228050944635361,0,3.424,245,0.469,-0.116,0.667,0.54,0.167
red,light_red,0.12139300636401841,0,0,0,0,0,0,0,0,0.3913357733845647,0,0,0,0,1,0,0,0,0,0.18910120770583497,0.8214417655616133,0.0,0.24581688097201632,0.43963930000953205,0.3390232237716454,0.5464171045855142,2,2.113,19,0.519,-0.348,0.295,0.0,0.279
white,sweet,0.41982252784595886,0,1,0,0,0,0,0,0,0.8295266502312303,1,0,0,1,0,0,1,0,1,0.5163233109939933,0.6207696610880955,0.697354240160917,0.8579593547251124,0.0,0.6715935901698132,0.5332575717559378,3,3.874,164,0.537,-0.061,0.756,0.709,0.452
white,rich,0.7802368841380456,0,0,1,0,0,0,0,0,0.5707711182291864,0,1,1,0,0,0,0,1,1,0.3961118532430424,0.6284198025554879,0.7280355910017409,0.4320899767624894,0.0,0.4430088659911466,0.9385024666339045,0,3.239,142,0.489,-0.127,0.852,0.765,0.314
red,aged,0.3902180604017781,0,0,0,0,1,0,0,1,0.718361523946762,0,0,0,0,0,1,1,0,1,0.5963429567342008,0.3469758563519243,0.5798720371587555,0.8904096424809491,0.6414310159361749,0.9801793113931626,0.5183435437700613,2,4.653,176,0.404,0.457,0.32,0.144,0.07
white,sweet,0.48557299467533444,0,0,1,1,0,0,0,0,0.4941690639133831,0,0,1,1,0,0,0,0,1,0.6134049267641652,0.583626553266871,0.5275571612793498,0.6304393985409997,0.0,0.8049186826985781,0.7035285785764475,4,3.541,176,0.354,-0.058,0.774,0.542,0.148
white,aromatic,0.16466857449478478,0,0,0,0,0,0,0,0,0.7797311632741142,0,0,1,1,0,0,1,0,0,0.11509102573546237,0.5980917653208188,0.4524815245588075,0.6427954226186121,0.0,0.34183353131894056,0.628662402265704,0,2.712,161,0.685,-0.597,0.693,0.611,0.507
white,sweet,0.5605681553407457,0,1,1,1,0,0,0,0,0.8354889033919468,0,0,1,0,0,0,0,1,0,0.37261753258480323,0.4303581321608807,0.6571455128182587,0.5762184245343659,0.0,0.5606103269693679,0.8335357188098323,0,3.133,248,0.515,-0.071,0.725,0.545,0.113
white,rich,0.7048934254765904,0,1,1,0,0,0,0,0,0.9497913951905552,1,0,1,0,0,0,0,1,0,0.6086501142567025,0.33641135882901263,0.5930177604277752,0.745234640135019,0.0,0.6062194199289753,0.8405741541493065,0,3.103,253,0.583,0.158,0.852,0.779,0.323
red,light_red,0.13753253061933324,0,0,0,0,0,1,0,1,0.2184834035869155,0,0,0,0,0,1,0,0,0,0.0,0.7061124798050514,0.2958398643388785,0.19439016151751456,0.17506623642927505,0.5258156846168054,0.19548864818381667,0,2.701,10,0.553,-0.452,0.4,0.012,0.038
white,oxidative,0.979069059902248,0,0,1,1,0,0,0,0,0.6873152250729876,0,0,0,0,0,0,0,1,1,0.6633229766431068,0.3159451284886412,0.46876312544628795,0.4712291429021727,0.0,0.5607233545944696,0.8556586967761011,0,2.791,102,0.313,0.086,0.918,0.69,0.216
white,rich,0.618282809114213,0,0,0,1,0,0,0,0,0.8752601831910505,0,0,1,0,0,0,1,0,1,0.6544876381652696,0.4974198766705774,0.8229656142245293,0.9057116538654731,0.0,0.6060030040474281,0.8297893403464591,2,4.051,10,0.421,0.265,0.733,0.515,0.172
white,rich,0.7612840518691051,0,1,1,0,0,0,0,0,0.7196980953125621,0,0,1,1,0,0,1,1,1,0.4307541097698253,0.4281491449098975,0.866961266810193,0.7497814055274492,0.0,0.4456177945321239,1.0,1,3.848,45,0.349,0.05,0.866,0.809,0.299
white,rich,0.44247886415673665,0,1,1,0,0,0,0,0,0.8068034359236361,0,0,0,0,0,0,0,1,0,0.32251406315055087,0.6829881642636463,0.708762295100681,0.6254541767355128,0.0,0.7867174306925122,1.0,0,4.092,37,0.701,-0.229,0.677,0.652,0.302
white,aromatic,0.14881402084975803,0,0,0,0,0,0,0,0,0.715025322241653,0,1,0,1,0,0,0,0,0,0.23626407990326118,0.42047997563344913,0.2090246864770918,0.6123621040299821,0.0,0.6318108143653326,0.6452711700045242,1,2.595,25,0.542,-0.357,0.695,0.595,0.488
red,fruity,0.603251682598738,0,0,0,0,0,0,1,0,0.9170644153793289,0,0,0,0,1,1,1,1,0,0.2189267931896325,0.5107174559276139,0.4927026651003754,0.6473199070365597,0.37923817192419135,0.34692421328106887,0.4028619789023252,0,3.198,160,0.676,0.032,0.681,0.02,0.066
red,aged,0.5328916774233889,0,0,0,0,0,0,0,1,0.6791479233094712,0,0,0,0,1,1,0,0,1,0.8456976418405354,0.35078948525622977,0.7209212592655556,0.6413713126293976,0.3031690162297551,0.8245797462783651,0.6872078172819015,2,3.942,300,0.199,0.493,0.523,0.044,0.13
white,crisp,0.2879165813418744,0,0,0,0,0,0,0,0,0.7516744889156536,1,1,0,0,0,0,0,0,0,0.08289314936365683,0.911079137775205,0.1880175410604878,0.5972942742084546,0.0,0.3600206490690724,0.4974017174468829,0,2.196,68,0.863,-0.808,0.656,0.701,0.522
red,bold_red,0.7223210329797916,0,0,0,0,0,0,0,0,0.9844535560725416,0,0,0,0,1,1,1,0,0,0.2902697794409053,0.19769957717467426,0.9032324862620913,0.7449970299586076,0.7605830044693992,0.6093712387091875,0.8708620113196239,2,5.0,117,0.535,0.555,0.411,0.021,0.428
white,crisp,0.3323508765366822,0,0,0,0,0,0,0,0,0.38903073355549017,0,1,0,0,0,0,0,0,0,0.11839087655747002,0.925618152105574,0.0030294701090469237,0.5323226295125092,0.0,0.496152898688891,0.38545395988236303,0,1.941,226,0.549,-0.812,0.757,0.723,0.485
red,bold_red,0.8709215837192563,0,0,0,0,0,1,0,1,0.6173484481036714,0,0,0,0,1,0,1,0,1,0.2431884268817771,0.36961984156687316,0.5452092661992062,0.906759260096613,0.7342720270571776,0.723927556799354,0.932203736998138,0,4.334,225,0.424,0.206,0.614,0.0,0.123
white,sweet,0.5808627060787614,0,1,0,1,0,0,0,0,0.7397382265136511,0,1,1,1,0,0,0,0,1,0.6038910811138167,0.4237876217677262,0.5798573354201173,0.7458199824720012,0.0,0.7027949806806074,0.6333086525033695,4,3.35,63,0.457,0.097,0.777,0.497,0.145
white,oxidative,0.8676063272617264,0,0,1,1,1,0,0,0,0.7471473756550165,0,0,1,0,0,0,0,1,0,0.726489903728111,0.666480060525401,0.7831501582606578,0.8583860722261633,0.0,0.9857699680133529,0.47681521032921725,1,4.383,252,0.532,0.151,0.917,0.596,0.204
white,aromatic,0.15341369326429977,1,0,0,0,0,0,0,0,1.0,0,0,1,1,0,0,0,0,0,0.27510193180108156,0.6601278053113081,0.12445981837908042,0.4923081537071065,0.0,0.6344019853021393,0.782510389556897,0,2.11,165,0.744,-0.487,0.615,0.617,0.551
white,aromatic,0.47310117562412535,1,1,0,0,0,0,0,0,0.935670839892979,0,0,0,1,0,0,0,0,1,0.13013613780770295,0.693039448027726,0.19772136114016403,0.8646740828392948,0.0,0.49568117914661053,0.7408279327067555,0,2.454,254,0.785,-0.576,0.752,0.788,0.505
red,earthy,0.4872061906002386,0,0,0,0,0,0,1,1,0.5824604889670034,0,0,0,0,1,0,1,0,1,0.5923717273364948,0.9062514893124398,0.5322240693221514,0.6402716892810886,0.8376904431707767,0.8918808305195859,0.43481278597299533,3,4.595,10,0.531,0.224,0.489,0.076,0.091
red,bold_red,0.6047485386677437,0,0,0,0,0,1,0,0,0.818264619872561,0,0,0,0,0,0,1,0,0,0.5411056126032849,0.4671851026686502,0.5815050633058954,0.4154038872014978,0.9158617694189332,0.5139937780547806,0.5945775022285765,1,4.042,191,0.451,0.461,0.363,0.044,0.344
white,sweet,0.3744543591013392,0,0,1,1,0,0,0,0,0.5250439824583862,0,0,0,1,0,0,0,0,0,0.41127960192534,0.5642720725104486,0.5956634202485959,0.6428425548426299,0.0,0.46102578703529395,0.6125696850599879,0,3.188,82,0.392,-0.154,0.683,0.47,0.121
white,oxidative,0.5928665360025929,0,0,0,0,1,0,0,0,0.5582507470967074,0,1,0,0,0,0,0,1,1,0.7735722468277223,0.5002456764912016,0.9834244081702933,0.7510498172564568,0.0,0.8007515595529693,0.8446843670664811,0,4.438,300,0.275,0.34,0.789,0.551,0.175
white,aromatic,0.44873741109809284,1,0,1,0,0,0,0,0,0.6788843160172274,0,0,0,1,0,0,0,0,0,0.27747318668474363,0.5555601669169501,0.6849985359248942,0.45739391828629583,0.0,0.9113930639246759,0.6853805871927976,4,4.117,143,0.559,-0.172,0.699,0.632,0.328
red,bold_red,0.7219738550790643,0,0,0,0,0,1,1,1,0.6989591410308718,0,0,0,0,1,1,0,0,0,0.6808192177721677,0.7528973584085485,0.634757696530535,0.8473582923568308,1.0,0.7004883781351219,0.7043072652176581,3,4.524,266,0.489,0.495,0.57,0.0,0.141
red,bold_red,0.8238299367823494,0,0,0,0,0,0,0,0,0.8585246472935136,0,0,0,0,1,1,1,0,0,0.2650258007013019,0.21336404070687226,0.9127554965059121,1.0,0.848252275633595,0.9441326266742731,0.7047410576510647,3,5.0,93,0.425,0.518,0.442,0.048,0.393
red,bold_red,0.9110570278710757,0,0,0,0,0,1,0,0,0.7719999724168448,0,0,0,0,0,1,1,0,1,0.6012533125533811,0.6314474605601313,0.7849131569183203,0.6641687018661103,0.7540590904687519,0.8981260642618448,0.9302388265801357,3,5.0,224,0.634,0.433,0.384,0.007,0.427
white,rich,0.8335746583994148,0,0,1,0,0,0,0,0,0.8305575268486243,0,1,1,0,0,0,0,1,1,0.28439945009809786,0.4108065173941566,0.8305646290453446,0.693289620516137,0.0,0.8428953469420414,0.6233053190078442,0,4.39,114,0.502,-0.017,0.863,0.747,0.399
red,fruity,0.42382126776106027,0,0,0,0,0,0,0,0,0.7805102641626939,0,0,0,0,1,0,1,1,0,0.3240085943652108,0.6367406933427712,0.4012396889349069,0.5107447149636591,0.2712887337911246,0.378001203198049,0.7027282281558671,1,2.963,135,0.628,-0.091,0.316,0.028,0.258
white,crisp,0.08058556842141318,1,1,0,0,0,0,0,0,0.25746338337762,1,1,1,1,0,0,0,0,0,0.1704225601505837,0.6698445615453541,0.3152839744038052,0.4470255029307301,0.0,0.2664100326887062,0.4047622934889183,0,2.377,36,0.433,-0.594,0.625,0.584,0.407
white,crisp,0.21657918953102634,0,1,0,0,0,0,0,0,0.3622769364649017,1,0,0,0,0,0,0,0,0,0.11649345300591823,0.8888400759592993,0.17026434261109688,0.6073519043883648,0.0,0.49145531473977605,0.3514684245265551,1,1.944,215,0.657,-0.73,0.644,0.643,0.378
white,oxidative,0.558183198942738,0,0,0,1,0,0,0,0,0.8492951220381,0,0,1,0,0,0,1,0,1,1.0,0.4063285048828646,0.8606121066731618,1.0,0.0,0.7819126976097989,0.267877960215966,1,4.337,107,0.345,0.534,0.656,0.532,0.163
red,light_red,0.39176264554088414,0,0,0,0,0,1,0,0,0.37807480770981033,0,0,0,0,1,0,0,0,1,0.0,0.6925818056872256,0.3293750346330175,0.37263953073852657,0.3269958602919671,0.44723790594433743,0.653028582083179,1,2.605,140,0.532,-0.443,0.307,0.037,0.277
red,fruity,0.6988681005702897,0,0,0,0,0,1,1,0,0.8523625359986248,0,0,0,0,0,0,0,0,0,0.20437624842436825,0.46744362281917895,0.6491187048593273,0.35156851002605977,0.43393512643773796,0.5661860812259883,0.610075464682562,0,3.785,77,0.497,0.069,0.636,0.079,0.123
red,bold_red,0.9568611667479844,0,0,0,0,0,1,0,0,0.9852496329154601,0,0,0,0,1,1,1,0,0,0.5793672756084299,0.457132733278787,0.8887792001514335,0.9651292724235984,0.7045890794037252,0.6482571555028025,0.6038336384528864,3,4.667,300,0.582,0.493,0.473,0.047,0.412
red,bold_red,0.9554864378450986,0,0,0,0,0,1,1,0,0.9826447639588733,0,0,0,0,0,1,1,1,0,0.6400650351052478,0.4442762264222137,0.6127202687202346,0.9116567317808305,0.6262518561158487,0.6464567192692248,0.702878482862981,2,4.168,300,0.441,0.378,0.763,0.071,0.147
white,crisp,0.008414760984187452,0,1,0,0,0,0,0,0,0.5477001374385301,1,1,0,0,0,0,0,0,0,0.11416081330595372,0.9988264395929287,0.0655486072337247,0.11432607233209911,0.0,0.37371456636883865,0.696585908164788,1,1.604,100,0.788,-0.931,0.613,0.627,0.355
red,bold_red,0.7940221323823861,0,0,0,0,0,1,0,1,0.9309288790593382,0,0,0,0,1,1,0,0,1,0.3270383041187427,0.6077825638818412,0.5741912173325067,0.9309940213783698,1.0,0.8035855384841384,1.0,4,4.452,300,0.62,0.247,0.532,0.059,0.12
white,aromatic,0.191519266196649,1,1,1,0,0,0,0,0,1.0,0,0,1,0,0,0,0,0,0,0.18511072263534695,0.41265211756049813,0.41012471051842775,0.7016647806711171,0.0,0.5481974305894999,0.5614259628661505,0,2.687,223,0.55,-0.36,0.665,0.554,0.187
white,oxidative,0.5037671815670374,0,0,1,1,1,0,0,0,0.8117034375762168,0,0,1,0,0,0,1,0,0,0.9046222327803981,0.4866205040565072,0.575169970521157,0.8144221905898175,0.0,0.8455887654664068,0.6909354497285045,1,3.859,286,0.378,0.273,0.687,0.499,0.096
red,earthy,0.5552680065322257,0,0,0,0,1,0,0,1,0.2755628387401253,0,0,0,0,1,1,0,0,1,0.442135731632304,0.40388797685784505,0.6334573584163372,0.7428524523367774,0.49222449399673784,0.7289360081825638,0.5199991308633223,0,4.138,149,0.17,0.231,0.38,0.096,0.025
red,bold_red,0.6824094894328337,0,0,0,0,0,0,0,1,0.9059878407330756,0,0,0,0,1,1,1,0,1,0.46895011893059735,0.5206302929801786,0.7924032825189943,0.7955357901136763,0.851227773176175,0.6814992528227556,0.9335455381151438,3,4.511,243,0.618,0.446,0.567,0.023,0.073
red,fruity,0.4666996242496212,0,0,0,0,0,0,1,0,0.6889159212082163,0,0,0,0,1,1,0,0,0,0.03984753774869379,0.7063066474606187,0.42179879200731535,0.5026111585799177,0.31144479488887955,0.3540572306895184,0.4038798733837104,0,2.623,210,0.745,-0.253,0.622,0.081,0.124
white,oxidative,0.9105991412751133,0,0,1,0,1,0,0,0,0.601751940289407,0,0,1,0,0,0,1,0,1,0.6787352518358918,0.5038662440152883,0.7539643999722001,0.8655619910882195,0.0,0.36533379125770915,0.6709763423434164,2,3.585,190,0.295,0.16,0.938,0.644,0.22
red,bold_red,0.7590915902490889,0,0,0,0,0,1,0,0,1.0,0,0,0,0,0,0,1,0,0,0.5526945648960376,0.5324287358346366,0.847564394850511,0.9713262562137831,0.7996248096922909,0.6692453723093185,0.9760651241383307,4,5.0,10,0.59,0.665,0.406,0.0,0.378
red,bold_red,0.775989506816952,0,0,0,0,0,1,0,1,0.6861619131554593,0,0,0,0,0,1,1,0,1,0.4196524985963996,0.3947093961819361,0.6602408365028748,0.9563423775248309,0.8686189667915438,0.46357014706701305,0.7431201461229199,2,4.538,160,0.392,0.483,0.552,0.047,0.133
white,rich,0.4875014399942599,0,1,1,1,0,0,0,0,0.5370847548219007,1,1,1,1,0,0,1,1,1,0.2898919554002729,0.5610332798367041,0.9189518599832445,0.7596744344025131,0.0,0.7339324551389836,0.7256383197908215,4,4.346,123,0.427,-0.132,0.679,0.505,0.164
white,crisp,0.32179785697272895,0,0,0,0,0,0,0,0,0.3598445963909145,1,0,0,0,0,0,0,1,0,0.28995694087552804,0.8614577531893562,0.31780436949579194,0.5157745006313248,0.0,0.43390905097203647,0.5441973052609578,1,2.634,40,0.439,-0.595,0.737,0.655,0.557
red,light_red,0.20943893275972725,0,0,0,0,0,1,1,0,0.19240634637389542,0,0,0,0,1,0,0,0,0,0.08281447028305139,0.8491924031473015,0.0,0.06441011158645552,0.30514033649852706,0.5076239257214464,0.3162201915221665,0,2.109,50,0.444,-0.593,0.459,0.061,0.107
red,bold_red,0.8730975358508164,0,0,0,0,0,0,0,0,0.934812000483217,0,0,0,0,1,1,1,0,1,0.37387244307626083,0.4931565219898893,0.9780747651277328,1.0,0.7712746522717507,0.7080455991307004,0.9004790770252233,4,5.0,272,0.521,0.57,0.369,0.063,0.4
white,crisp,0.17703093837312617,1,0,0,0,0,0,0,0,0.4471383435086932,1,1,0,0,0,0,0,0,0,0.19814642325352597,1.0,0.15931802554829105,0.3471957063738276,0.0,0.2442727226449486,0.5228043778691347,1,2.082,10,0.701,-0.76,0.618,0.654,0.46
